Comm Code,Commodity,total
8800,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",16173559860
1201,"SOYBEANS, WHETHER OR NOT BROKEN",11707154759
8703,MOTOR CARS & VEHICLES FOR TRANSPO,9787269691
8542,"ELECTRONIC INTEGRATED CIRCUITS & MICROASSEMBL, PTS",3937127797
8517,ELECTRIC APPARATUS FOR LINE TEL,2485600493
1007,GRAIN SORGHUM,2078016499
5201,"COTTON, NOT CARDED OR COMBED",1966348354
8486,MACH/APPS FOR MANUFCT OF SEMIC,1937503541
8708,PARTS & ACCESS FOR MOTOR,1915389835
8471,AUTOMATIC DATA PROCESS MACHINES;,1844323017
4101,RAW HIDES & SKINS OF BOVINE OR EQUIN,1607042706
4707,WASTE AND SCRAP OF PAPER OR PAPERBOARD,1515944362
4407,"WOOD SAWN OR CHIPPED LENGTH, SLICED ETC, OV6MM TH",1458637806
9027,INST ETC FOR PHYSICAL ETC,1421374978
2303,RESIDUES OF STARCH MFR OR SU,1390302187
9018,"MEDICAL, SURGICAL, DENTAL",1377861890
7404,COPPER WASTE AND SCRAP,1320988278
4703,"CHEMICAL WOODPULP, SODA OR SULFATE, NOT DISSOLY GR",1214520697
3907,"POLYETHERS, EXPOXIDES & POL",1148067206
4403,"WOOD IN THE ROUGH, STRIPPED OR NOT OF SAPWOOD ETC",1139636111
8431,PARTS FOR MACHINERY OF HEADINGS,1055342311
8541,SEMICONDUCTOR DEVICES; LIGH,1002331898
8413,PUMPS FOR LIQUIDS; LIQUID ELEVATORS; PARTS THEREOF,988374820
7602,ALUMINUM WASTE AND SCRAP,959329543
9030,"OSCILLOSCOPES, SPECTRUM ANAL",904592394
8481,"TAPS, COCKS, VALVES ETC FOR PIPES, TANKS ETC, PTS",900538866
2711,PETROLEUM GASES & OTHER GASEOUS HYDROCARBONS,874720007
3004,"MEDICAMENTS NESOI, MIXED O",677003727
3901,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS",668585922
8536,ELECTRICAL APPARATUS FOR,664517048
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",648124766
9022,X-RAY ETC APPARATUS; TUB,643612798
8408,COMPRESSION-IGNITION INTERNAL COMB PISTON ENGINES,594613806
2902,CYCLIC HYDROCARBONS,580576223
8473,PARTS ETC FOR TYPEWRITERS & OTHER OFFICE MACHINES,569256509
8537,"BOARDS, PANELS ETC ELEC SW",561434121
9880,LOW VALUE EXP SHP; CANADIAN. EST LATE RECEIPTS,554734265
2401,"TOBACCO, UNMANUFACTURED; TOBACCO REFUSE",553681155
3815,REACTION INITIATORS & ACCELER & CATALYT PREP NESOI,533271889
9031,"MACHINES, NESOI IN CHAPTER 90; PROFILE PROJECT, PT",512930404
3822,"COMPOSITE DIAGNOSTIC/LAB REAGENTS, EXC PHARMACEUT",495820423
8421,CENTRIFUGES; FILTER ETC MACH FOR LIQ OR GASES; P,495237757
3824,BINDERS FOR FOUND MOLDS;,486727122
8479,"MACHINES ETC HAVING INDIVIDUAL FUNCTIONS NESOI, PT",473195534
4702,"CHEMICAL WOODPULP, DISSOLVING GRADES",469190120
7204,FERROUS WASTE & SCRAP; REMELT SCR IRON/STEEL INGOT,467850817
2710,OIL (NOT CRUDE) FROM PETR,465073298
9021,ORTHOPEDIC APPL; ARTIF BODY PT,456536767
8544,"INSULATED WIRE, CABLE ETC;",439954327
3904,"POLYMERS OF VINYL CHLORIDE ETC., IN PRIMARY FORMS",430121208
