YTD Value,Monthly Value,Period,Commodity,Comm Code
2897724154,409668221,2018-07,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2069294819,438808470,2016-05,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2508274875,438980056,2016-06,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2933353542,425078667,2016-07,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
1606683416,427051147,2017-04,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4990912363,426155758,2017-12,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
3316185702,418461548,2018-08,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
3315936777,426527366,2017-08,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2042191275,433983168,2018-05,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4519658642,477184233,2015-10,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
5058803151,406979806,2016-12,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
1760944367,493186933,2015-04,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
1630486349,419875611,2016-04,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
751288010,371992360,2018-02,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2040680805,433997389,2017-05,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2251852723,490908356,2015-05,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
784906161,403946154,2015-02,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
795323917,404463315,2016-02,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4645137045,488591210,2018-11,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
380960007,380960007,2015-01,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4651823345,431514300,2016-11,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
3616261699,439828986,2015-08,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
5002775759,483117117,2015-11,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
3713576618,397639841,2017-09,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
5425736349,422960590,2015-12,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
1182952118,431664108,2018-03,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
1267757434,482851273,2015-03,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
390860602,390860602,2016-01,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
369549945,369549945,2017-01,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2475451251,434770446,2017-06,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4156545835,422489797,2018-10,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
738321507,368771562,2017-02,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2889409411,413958160,2017-07,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4220309045,436503752,2016-10,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4140212743,426636125,2017-10,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
379295650,379295650,2018-01,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
1210610738,415286821,2016-03,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
5074278647,429141602,2018-12,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4042474409,426212710,2015-09,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
3346590112,413236570,2016-08,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
397268403,397268403,2019-01,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
3783805293,437215181,2016-09,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
1608208107,425255989,2018-04,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
3734056038,417870336,2018-09,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
4564756605,424543862,2017-11,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
1179632269,441310762,2017-03,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
3176432713,439851971,2015-07,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
2736580742,484728019,2015-06,"PREP VEGETABLES, FRUIT, NUTS OR OTHER PLANT PARTS",20
134738835356,12875899747,2016-12,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
120009240005,11544731400,2015-11,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
76654088704,10710012897,2016-07,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
64071009030,11577617833,2015-06,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
87262008016,10607919312,2016-08,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
77007317866,9885329096,2018-07,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
8955474788,8955474788,2018-01,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
30374644713,11622596581,2015-03,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
9372192420,9372192420,2015-01,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
54097754416,12601261373,2018-05,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
67121988770,13024234354,2018-06,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
18079733300,9124258512,2018-02,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
18752048132,9379855712,2015-02,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
111400737947,12232256659,2016-10,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
51249104032,10801019288,2017-05,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
73292108833,11086363057,2017-07,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
8564157262,8564157262,2016-01,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
65944075807,12918169576,2016-06,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
41924778358,11178349797,2016-04,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
113398451041,12134418378,2018-10,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
131661791153,11652551148,2015-12,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
17869043840,9304886578,2016-02,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
41713074287,11338429574,2015-04,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
17747298616,8629246685,2017-02,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
97130094259,11821062236,2017-09,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
53025906231,11101127873,2016-05,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
9118051931,9118051931,2017-01,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
107332190777,10202096518,2017-10,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
96824152924,11337731206,2015-09,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
101264032663,12769049377,2018-09,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
108464508605,11640355681,2015-10,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
73914655229,9843646199,2015-07,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
41496493043,9636857205,2018-04,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
99168481288,11906473272,2016-09,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
30746428561,12877384721,2016-03,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",88
