Comm Code,Commodity,total
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",101459426378
84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",92077438590
85,ELECTRIC MACHINERY ETC; SOUND,80253527697
27,"MINERAL FUEL, OIL ETC.; BITUMIN SUBST; MINERAL WAX",69716848086
87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC",67075228920
90,"OPTIC, PHOTO ETC, MEDIC OR S",62121267488
39,PLASTICS AND ARTICLES THEREOF,38305035773
12,"OIL SEEDS ETC.; MISC GRAIN, SEED, FRUIT, PLANT ETC",36049250858
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,20556457324
29,ORGANIC CHEMICALS,19344247658
