Comm Code,Commodity,total
85,ELECTRIC MACHINERY ETC; SOUND,936227817328
84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",755345950642
94,FURNITURE; BEDDING ETC; LAMPS NESOI ETC,219714896532
95,"TOYS, GAMES & SPORT EQUIPMENT; PARTS & ACCESSORIES",151846755951
39,PLASTICS AND ARTICLES THEREOF,121420238205
87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC",106128515053
64,"FOOTWEAR, GAITERS ETC. AND PARTS THEREOF",91977012903
61,"APPAREL ARTICLES AND ACCESSORIES, KNIT OR CROCHET",87405135397
73,ARTICLES OF IRON OR STEEL,84379075048
62,"APPAREL ARTICLES AND ACCESSORIES, NOT KNIT ETC.",83010298916
